Date_Time,Day,well_id,RFU,Time,plate,Pop_ID,species,temperature,level_of_resource,value_resource,well_number,replicate,phylum,species_updated,Time_days,time_diff
2022-05-13T09:26:54Z,Day0,A3,10,0:06:27,1,1_A3,Eudorina,15,P1,0.01,17,1,chlorophyta,Eudorina elegans,0.004479167,0.003310185
2022-05-13T09:26:54Z,Day0,A4,15,0:06:27,1,1_A4,Asterionella (C),15,P1,0.01,25,1,diatom,Asterionella formosa,0.004479167,0.003310185
2022-05-13T09:26:54Z,Day0,A5,6,0:06:27,1,1_A5,Navicula,15,P1,0.01,33,4,diatom,Fistulifera saprophila,0.004479167,0.003310185
2022-05-13T09:26:54Z,Day0,A7,25,0:06:27,1,1_A7,Cyclotella (G),15,P1,0.01,49,2,diatom,Cyclotella pseudostelligera,0.004479167,0.003310185
2022-05-13T09:26:54Z,Day0,A8,14,0:06:27,1,1_A8,Tetraedron,15,P1,0.01,57,1,chlorophyta,Tetraedron minumum,0.004479167,0.003310185
2022-05-13T09:26:54Z,Day0,A9,8,0:06:27,1,1_A9,Nitzschia p. (G),15,P1,0.01,65,2,diatom,Nitzschia paela (G),0.004479167,0.003310185
2022-05-13T09:26:54Z,Day0,A10,19,0:06:27,1,1_A10,Eudorina,15,P1,0.01,73,3,chlorophyta,Eudorina elegans,0.004479167,0.003310185
2022-05-13T09:26:54Z,Day0,A11,17,0:06:27,1,1_A11,Coelastrum,15,P1,0.01,81,4,chlorophyta,Coelastrum sp.,0.004479167,0.003310185
2022-05-13T09:26:54Z,Day0,B2,19,0:06:27,1,1_B2,Lagerheimia,15,P1,0.01,10,4,chlorophyta,Lagerheimia subsalsa,0.004479167,0.003310185
2022-05-13T09:26:54Z,Day0,B3,9,0:06:27,1,1_B3,Nitzschia (C),15,P1,0.01,18,4,diatom,Nitzschia paela (C ),0.004479167,0.003310185
2022-05-13T09:26:54Z,Day0,B4,17,0:06:27,1,1_B4,Fragilaria (C),15,P1,0.01,26,1,diatom,Fragilaria crotonensis,0.004479167,0.003310185
2022-05-13T09:26:54Z,Day0,B5,11,0:06:27,1,1_B5,Cyclotella (G),15,P1,0.01,34,4,diatom,Cyclotella pseudostelligera,0.004479167,0.003310185
2022-05-13T09:26:54Z,Day0,B7,19,0:06:27,1,1_B7,Messastrum,15,P1,0.01,50,1,chlorophyta,Messastrum gracile,0.004479167,0.003310185
2022-05-13T09:26:54Z,Day0,B8,19,0:06:27,1,1_B8,Cyclotella (G),15,P1,0.01,58,1,diatom,Cyclotella pseudostelligera,0.004479167,0.003310185
2022-05-13T09:26:54Z,Day0,B9,19,0:06:27,1,1_B9,Eudorina,15,P1,0.01,66,2,chlorophyta,Eudorina elegans,0.004479167,0.003310185
2022-05-13T09:26:54Z,Day0,B10,9,0:06:27,1,1_B10,Nitzschia p. (G),15,P1,0.01,74,3,diatom,Nitzschia paela (G),0.004479167,0.003310185
2022-05-13T09:26:54Z,Day0,B11,16,0:06:27,1,1_B11,Scenedesmus (Z),15,P1,0.01,82,1,chlorophyta,Scenedesmus armatus,0.004479167,0.003310185
2022-05-13T09:26:54Z,Day0,C2,15,0:06:27,1,1_C2,Eudorina,15,P1,0.01,11,4,chlorophyta,Eudorina elegans,0.004479167,0.003310185
2022-05-13T09:26:54Z,Day0,C3,18,0:06:27,1,1_C3,Chlorella,15,P1,0.01,19,4,chlorophyta,Chlorella sp.,0.004479167,0.003310185
2022-05-13T09:26:54Z,Day0,C4,24,0:06:27,1,1_C4,Scenedesmus (C),15,P1,0.01,27,3,chlorophyta,Scenedesmus arcuatus var. Platydiscus,0.004479167,0.003310185
2022-05-13T09:26:54Z,Day0,C5,17,0:06:27,1,1_C5,Oocystis,15,P1,0.01,35,2,chlorophyta,Oocystis sp.,0.004479167,0.003310185
2022-05-13T09:26:54Z,Day0,C6,14,0:06:27,1,1_C6,Nitzschia (C),15,P1,0.01,43,2,diatom,Nitzschia paela (C ),0.004479167,0.003310185
2022-05-13T09:26:54Z,Day0,C10,20,0:06:27,1,1_C10,Coelastrum,15,P1,0.01,75,3,chlorophyta,Coelastrum sp.,0.004479167,0.003310185
2022-05-13T09:26:54Z,Day0,C11,22,0:06:27,1,1_C11,Lagerheimia,15,P1,0.01,83,3,chlorophyta,Lagerheimia subsalsa,0.004479167,0.003310185
2022-05-13T09:26:54Z,Day0,D2,19,0:06:27,1,1_D2,Asterionella (C),15,P1,0.01,12,2,diatom,Asterionella formosa,0.004479167,0.003310185
2022-05-13T09:26:54Z,Day0,D3,17,0:06:27,1,1_D3,Oocystis,15,P1,0.01,20,1,chlorophyta,Oocystis sp.,0.004479167,0.003310185
